# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      959.250     4934.691
       1.080        0.000      962.492     4582.520
       2.147        0.000      962.492     4582.520
       3.215        0.000      217.098    36920.523
       4.282        0.000      278.797    36920.523
       5.349        0.000      501.965    36920.523
       6.416        0.000      570.781    36920.523
       7.482        0.000      570.781    36920.523
       8.548        0.000      570.781    36920.523
       9.616        0.000      622.113    36920.523
      10.683        0.000      622.113    36920.523
      11.749        0.000      701.934    36920.523
      12.800        0.000      701.934    36920.523
      13.865        0.000      701.934    36920.523
      14.932        0.000      783.180    36920.523
      15.990        0.000      783.180    36920.523
      17.057        0.000      783.180    36920.523
      18.124        0.000      871.129    36920.523
      19.193        0.000      871.129    36920.523
      20.259        0.000      871.129    36920.523
      21.325        0.000      882.070    36985.527
      22.377        0.000      881.562    36985.527
      23.445        0.000      880.152    36985.527
      24.511        0.000     1168.188    36985.527
      25.577        0.000     1168.332    36985.527
      26.645        0.000     1168.332    36985.527
      27.714        0.000       76.023     2086.629
      28.785        0.000      404.477     3814.629
      29.846        0.000      582.109     3878.629
