# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      962.309     4910.680
       1.078        0.000      962.492     4582.520
       2.144        0.000      962.492     4582.520
       3.207        0.000      340.438     8216.156
       4.278        0.000      778.203     8216.156
       5.346        0.000     1240.977     8216.156
       6.415        0.000     1302.594     8216.156
       7.481        0.000     1340.750     8216.156
       8.548        0.000     1357.250     8216.156
       9.616        0.000     1390.250     8216.156
      10.684        0.000     1417.062     8216.156
      11.752        0.000     1417.066     8216.156
      12.819        0.000     1417.066     8216.156
      13.886        0.000        5.621       24.152
      14.956        0.000        5.621       24.152
      16.023        0.000      232.984     3878.629
      17.094        0.000      572.523     4134.629
      18.163        0.000        3.852       17.520
